pclass,sex,age,sibsp,parch,fare,alone,embarked_Q,embarked_S,family_size,age_group,survived
3,0,-0.45832822694468717,0.47923289468613633,-0.4914185045323982,-0.8265638776634704,0,False,True,0.027093904252465585,4,0
1,1,0.7344420865322201,0.47923289468613633,-0.4914185045323982,3.352856465554539,0,False,False,0.027093904252465585,0,1
3,1,-0.1601356485754603,-0.5395807406836497,-0.4914185045323982,-0.782506977087174,1,False,True,-0.6209019724523347,4,1
1,1,0.5107976527553,0.47923289468613633,-0.4914185045323982,2.1660418874079177,0,False,True,0.027093904252465585,4,1
3,0,0.5107976527553,-0.5395807406836497,-0.4914185045323982,-0.7743482917952672,1,False,True,-0.6209019724523347,4,0
1,0,1.9272124000091275,-0.5395807406836497,-0.4914185045323982,2.085270903018041,1,False,True,-0.6209019724523347,0,0
3,0,-1.9492911187908213,2.516860165425708,0.6552246727098643,0.07578671562141383,0,False,True,1.9710815343668666,1,0
3,1,-0.08558750398315362,-0.5395807406836497,1.8018678499521268,-0.5731028969109792,0,False,True,0.6750897809572659,4,1
2,1,-1.0547133836831408,0.47923289468613633,-0.4914185045323982,0.6629379248128902,0,False,False,0.027093904252465585,3,1
3,1,-1.8001948296062078,0.47923289468613633,0.6552246727098643,-0.2097672695953217,0,False,True,0.6750897809572659,1,1
1,1,2.225404978378354,-0.5395807406836497,-0.4914185045323982,0.43313713140692867,1,False,True,-0.6209019724523347,0,1
3,0,-0.6074245161293006,-0.5395807406836497,-0.4914185045323982,-0.7743482917952672,1,False,True,-0.6209019724523347,4,0
3,0,0.8089902311245268,0.47923289468613633,5.241797381678914,0.7415354354410029,0,False,True,3.2670732877764674,0,0
3,1,-1.0547133836831408,-0.5395807406836497,-0.4914185045323982,-0.7871280564365101,1,False,True,-0.6209019724523347,3,0
2,1,2.001760544601434,-0.5395807406836497,-0.4914185045323982,-0.25545590722999933,1,False,True,-0.6209019724523347,0,1
3,0,-1.9492911187908213,3.5356738007954944,0.6552246727098643,0.6012060484202072,0,True,False,2.6190774110716672,1,0
3,1,0.2126050743860732,0.47923289468613633,-0.4914185045323982,-0.12491694255949166,0,False,True,0.027093904252465585,4,0
2,0,0.5107976527553,-0.5395807406836497,-0.4914185045323982,0.397238916122539,1,False,True,-0.6209019724523347,4,0
2,0,0.4362495081629933,-0.5395807406836497,-0.4914185045323982,-0.45126435423576083,1,False,True,-0.6209019724523347,4,1
3,1,-0.9801652390908341,-0.5395807406836497,-0.4914185045323982,-0.7757058970278407,1,True,False,-0.6209019724523347,3,1
1,0,-0.01103935939084691,-0.5395807406836497,-0.4914185045323982,1.0172989983074503,1,False,True,-0.6209019724523347,4,1
3,1,-1.502002251236981,2.516860165425708,0.6552246727098643,0.07578671562141383,0,False,True,1.9710815343668666,1,0
3,1,0.7344420865322201,0.47923289468613633,5.241797381678914,0.748878252203719,0,False,True,3.2670732877764674,0,1
1,0,0.8835383757168336,-0.5395807406836497,-0.4914185045323982,0.5095546413250438,1,False,False,-0.6209019724523347,0,0
1,0,1.032634664901447,0.47923289468613633,-0.4914185045323982,2.094245456839139,0,False,True,0.027093904252465585,0,0
3,0,-0.5328763715369939,-0.5395807406836497,-0.4914185045323982,-0.7743482917952672,1,False,True,-0.6209019724523347,4,0
3,1,-0.756520805313914,1.4980465300559223,-0.4914185045323982,-0.12491694255949166,0,False,True,0.6750897809572659,3,0
3,1,-1.0547133836831408,0.47923289468613633,-0.4914185045323982,-0.5660276850258377,0,False,False,0.027093904252465585,3,1
3,1,0.8835383757168336,0.47923289468613633,-0.4914185045323982,-0.6813392794675306,0,False,True,0.027093904252465585,0,0
2,1,-0.08558750398315362,0.47923289468613633,-0.4914185045323982,0.07089150444626983,0,False,True,0.027093904252465585,4,0
2,1,-1.8747429741985144,0.47923289468613633,1.8018678499521268,1.4140852353199256,0,False,False,1.3230856576620662,1,1
3,1,-0.6819726607216072,-0.5395807406836497,-0.4914185045323982,-0.7854963193781286,1,True,False,-0.6209019724523347,4,1
3,1,-0.756520805313914,0.47923289468613633,-0.4914185045323982,-0.1379708390265424,0,False,True,0.027093904252465585,3,0
3,0,-1.5765503958292877,3.5356738007954944,0.6552246727098643,1.2906149555863258,0,False,True,2.6190774110716672,1,0
3,0,-0.5328763715369939,-0.5395807406836497,-0.4914185045323982,-0.7906656623790806,1,False,True,-0.6209019724523347,4,0
2,1,0.06350878520145979,0.47923289468613633,-0.4914185045323982,0.397238916122539,0,False,True,0.027093904252465585,4,1
2,1,-0.5328763715369939,-0.5395807406836497,-0.4914185045323982,-0.6144380600738953,1,False,True,-0.6209019724523347,4,1
3,0,0.02623471290530644,-0.5395807406836497,-0.4914185045323982,-0.8279214828960437,1,False,False,-0.6209019724523347,4,0
2,1,-1.7256466850139012,0.47923289468613633,1.8018678499521268,0.5114605102092332,0,False,True,1.3230856576620662,1,1
3,0,-1.278357817460061,4.554487436165281,1.8018678499521268,1.761371096929344,0,False,True,3.9150691644812676,1,0
3,0,-0.45832822694468717,-0.5395807406836497,-0.4914185045323982,-0.8279214828960437,1,False,False,-0.6209019724523347,4,0
3,0,-1.8001948296062078,2.516860165425708,1.8018678499521268,0.5212509325595212,0,False,True,2.6190774110716672,1,0
2,1,0.06350878520145979,-0.5395807406836497,-0.4914185045323982,-0.6144380600738953,1,False,True,-0.6209019724523347,4,1
3,0,-0.6819726607216072,-0.5395807406836497,-0.4914185045323982,-0.7672796068583593,1,False,True,-0.6209019724523347,4,0
3,1,-0.8310689499062207,3.5356738007954944,1.8018678499521268,-0.782506977087174,0,False,True,3.2670732877764674,3,1
3,0,-0.1601356485754603,1.4980465300559223,-0.4914185045323982,-0.7343707338649244,0,False,True,0.6750897809572659,4,0
2,0,0.2871532189783799,-0.5395807406836497,-0.4914185045323982,-0.6144380600738953,1,False,True,-0.6209019724523347,4,0
3,1,-0.9056170944985273,4.554487436165281,1.8018678499521268,1.761371096929344,0,False,True,3.9150691644812676,3,0
2,0,-0.5328763715369939,-0.5395807406836497,-0.4914185045323982,3.4975393270470962,1,False,True,-0.6209019724523347,4,0
3,0,-0.1601356485754603,0.47923289468613633,-0.4914185045323982,-0.3563494730238347,0,False,False,0.027093904252465585,4,0
